Wall time,Step,Value
1757927404.7504382,697,1.4879401922225952
1757927404.839974,702,1.5963249206542969
1757927404.9875202,710,1.70925772190094
1757927405.080282,715,1.5624891519546509
1757927405.1201167,717,1.5438634157180786
1757927405.186574,720,1.5472521781921387
1757927405.196556,721,1.631885051727295
1757927405.2330008,723,1.3497509956359863
1757927405.2633507,725,1.4671356678009033
1757927405.2901652,726,1.6213586330413818
1757927405.3359642,728,1.4858824014663696
1757927405.3457484,729,1.5937402248382568
1757927405.3845243,731,1.4594495296478271
1757927405.414704,732,1.6050121784210205
1757927405.427504,733,1.5273935794830322
1757927405.544435,738,1.4620434045791626
1757927405.6764524,744,1.6273095607757568
1757927406.0993063,764,1.5185750722885132
1757927406.1097748,765,1.5990910530090332
1757927406.279988,772,1.5902560949325562
1757927406.34081,775,1.4271728992462158
1757927406.3670452,776,1.4523091316223145
1757927406.4200993,778,1.5191439390182495
1757927406.4518745,780,1.644322395324707
1757927406.600374,782,1.4687306880950928
1757927406.7229166,788,1.59233820438385
1757927407.0101779,804,1.6021127700805664
1757927407.0252557,805,1.4031774997711182
1757927407.0590646,807,1.532708764076233
1757927407.1182947,810,1.4155750274658203
1757927407.2685292,818,1.5490529537200928
1757927407.286782,819,1.621508002281189
1757927407.4640942,828,1.4769723415374756
1757927407.541736,832,1.6853137016296387
1757927407.5646365,833,1.5246809720993042
1757927407.6023571,835,1.605704665184021
1757927407.619537,836,1.366477608680725
1757927407.692033,839,1.5577797889709473
1757927407.7016988,840,1.5154374837875366
1757927407.7613883,843,1.4054921865463257
1757927407.8031168,845,1.4940781593322754
1757927407.9194458,851,1.4810638427734375
1757927408.048484,857,1.354190707206726
1757927408.1035914,860,1.4853365421295166
1757927408.1488826,862,1.512728214263916
1757927408.238134,866,1.3387140035629272
1757927408.3050654,870,1.6667028665542603
1757927408.3420713,871,1.4640897512435913
1757927408.6043775,884,1.440629243850708
1757927408.6560204,886,1.445312261581421
1757927408.7822998,892,1.3821187019348145
1757927408.8386476,895,1.4014620780944824
1757927408.8838246,897,1.498256802558899
1757927408.9694145,901,1.5171245336532593
1757927408.980524,902,1.6465710401535034
1757927409.0850763,908,1.4333782196044922
1757927409.1314526,910,1.4756728410720825
1757927409.1572323,911,1.5143450498580933
1757927409.3016253,918,1.430700421333313
1757927409.3794854,921,1.6392751932144165
1757927409.50948,928,1.39412260055542
1757927409.540416,930,1.4958605766296387
1757927409.5646422,931,1.5094709396362305
1757927409.574219,932,1.6910358667373657
1757927409.765965,942,1.358401894569397
1757927409.9006572,949,1.4594693183898926
1757927409.968227,952,1.5409590005874634
